gpkg_fid,Name,Alt Name,Description,Canyon Region,Quality (1-10),Longest Abseil (m),Num Abseils,Technical Difficulty (B/BG/I/A),Remoteness/Accessbility (VEA/EA/M/R/VR),Distance,Flow Accumulation,Wetsuit Reccomendation (N/R/SR),Time,Source,Source Link,Image Path,long,lat
133,Crayfish Creek Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3041804,-33.5921398
134,Hat Hill Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3204104,-33.5934518
135,Oronga Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3540384,-33.5801268
259,Kamarah Gully,,,Grose Valley Canyons,,,,,,,,,,,,,150.2919859,-33.5221502
260,Sarcophagus Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3406834,-33.5753714
148,Moko Creek Canyon,,,Kanangra Canyons,,,,,,,,,,,,,150.1986034,-33.9154018
149,Davies Canyon,,,Kanangra Canyons,,,,,,,,,,,,,150.1140034,-33.9239018
150,Carrabeanga Canyon,,,Kanangra Canyons,,,,,,,,,,,,,150.1171034,-33.9345018
151,Thurat Rift,,,Kanangra Canyons,,,,,,,,,,,,,150.1230034,-33.9481018
152,Danae Brook,,,Kanangra Canyons,,,,,,,,,,,,,150.1087034,-33.9672018
153,Kanangra Main,,,Kanangra Canyons,,,,,,,,,,,,,150.0991034,-33.9809018
154,Kalang Falls,,,Kanangra Canyons,,,,,,,,,,,,,150.1089034,-33.9843018
155,Arabanoo Canyon,,,Kanangra Canyons,,,,,,,,,,,,,150.1140034,-33.9978018
156,Dione Dell,,,Kanangra Canyons,,,,,,,,,,,,,150.0909034,-34.0027018
157,Christys Creek,,,Kanangra Canyons,,,,,,,,,,,,,150.0955034,-34.0098018
158,Wheengee Whungee Creek Canyon,,,Kanangra Canyons,,,,,,,,,,,,,150.0664034,-34.0206018
159,Doris Creek Canyon,,,Kanangra Canyons,,,,,,,,,,,,,150.0498034,-34.0438018
77,Deep Pass Canyon,,,Nayook,,,,,,,,,,,,,150.3076034,-33.3396018
172,Harmonic Bells Canyon,,,Nayook,,,,,,,,,,,,,150.3481804,-33.3262628
234,Harmonic Convergence Canyon (RJ),,,Nayook,,,,,,,,,,,,,150.3456004,-33.3341048
235,Rock Hill Canyon (RJ),,,Nayook,,,,,,,,,,,,,150.3454224,-33.3248608
236,Sandy Cave Canyon (RJ),,,Nayook,,,,,,,,,,,,,150.3661704,-33.3439038
51,CJs Canyon,,,Ovens Creek,,,,,,,,,,,,,150.3806034,-32.9384018
181,Hot Cross Canyon (RJ),,,Ovens Creek,,,,,,,,,,,,,150.3815324,-32.9751818
182,Untamed Canyon (RJ),,,Ovens Creek,,,,,,,,,,,,,150.3923104,-32.9706098
186,Nude Canyon (RJ),,,Ovens Creek,,,,,,,,,,,,,150.3803394,-32.9496328
189,Execution Canyon (RJ),,,Ovens Creek,,,,,,,,,,,,,150.3737424,-32.9015708
191,Clutter Box Canyon (RJ),,,Ovens Creek,,,,,,,,,,,,,150.3784114,-32.9768018
197,Cricket Canyon (RJ),,,Ovens Creek,,,,,,,,,,,,,150.3907504,-32.9587918
47,Gateway Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3283914,-33.3654948
48,Deep Throat Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3477784,-33.3990368
78,Banks Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3390034,-33.3613018
79,Hole in the wall Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3334914,-33.3716848
80,Bungleboori South Canyon,,,The Bungleboori,,,,,,,,,,,,,150.2299034,-33.4130018
81,Bjelkes Mind Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3619034,-33.3853018
82,Bridge Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3575034,-33.3888018
83,Cannons Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3524034,-33.3938018
84,Arch Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3400034,-33.4001018
85,Arthurs Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3095034,-33.4102018
115,Crikey Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3597534,-33.3697148
136,Luna Park Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3318704,-33.4082288
137,Scatters Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3167814,-33.4002728
138,Dead Tree Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3323114,-33.4021638
139,Four Dope Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3453424,-33.3992908
140,Whip Bird Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3554584,-33.3960438
141,Froth and Bubble Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3522884,-33.3793678
142,Fortitude Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3476524,-33.3653828
143,Nosedive Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3429314,-33.3648198
144,North East Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3351354,-33.3642858
145,Popeye Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3188854,-33.3768868
171,Four-Man Canyon,,,The Bungleboori,,,,,,,,,,,,,150.3776874,-33.3770748
221,Scrub Bash Canyon (RJ),,,The Bungleboori,,,,,,,,,,,Shit apparently says RJ,,150.3656534,-33.4540338
222,Interesting Creek (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3904444,-33.4550348
223,Sidewinder Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3529464,-33.4576658
224,Puzzle Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3517354,-33.4413548
225,Up Ya Crack Canyon (RJ),,,The Bungleboori,,,,,,,,,,,Very narrow,,150.3812844,-33.4459118
226,Up Ya Bum Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3834024,-33.4365238
227,Dumbano North Branch (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3054014,-33.4268338
228,Tunnel Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3846614,-33.4059558
229,Cesspit Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3262824,-33.4291698
239,Crystal Pools Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.2621074,-33.4303598
240,Stick Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.2889824,-33.4167468
250,Captain's Canyon (RJ),,,The Bungleboori,,,,,,,,,,,,,150.3691316,-33.4384469
251,Short Creek (RJ),,,The Bungleboori,,,,,,,,,,,,,150.427948,-33.4352849
270,Hailstorm Retreat,,,The Bungleboori,,,,,,,,,,,,,150.3231908,-33.40168148
42,Sunnyside Canyon,,,Wolgan / Newnes Expanse,,,,,,,,,,,,,150.1582254,-33.2870948
